Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-86,0,0,0,0,30,0
-85,9,0,0,0,12,0
-83,0,0,0,0,132,0
-82,15,0,0,0,54,0
-81,3,0,0,0,18,0
-80,12,0,0,0,24,0
-79,6,0,0,0,15,0
-78,9,0,0,0,21,0
-77,9,0,0,0,30,0
-76,0,0,0,0,51,0
-75,30,0,0,0,87,0
-74,21,0,0,0,45,0
-73,0,0,0,0,51,48
-72,30,12,0,0,129,39
-71,39,0,0,0,81,33
-70,9,3,0,0,60,18
-69,9,0,0,0,138,6
-68,18,0,0,0,33,3
-67,12,0,0,0,27,3
-66,6,3,0,0,156,9
-65,24,0,0,0,63,30
-64,42,0,0,0,366,30
-63,9,6,0,0,366,57
-62,21,0,0,0,72,39
-61,21,15,0,0,27,48
-60,3,6,0,0,57,45
-59,0,18,0,0,33,45
-58,18,3,0,0,45,36
-57,3,12,0,0,54,84
-56,63,18,0,0,183,126
-55,33,21,0,0,93,174
-54,6,42,0,0,249,210
-53,147,63,0,0,276,222
-52,18,48,0,0,186,162
-51,9,51,0,0,600,162
-50,300,48,0,0,651,186
-49,81,39,0,0,291,180
-48,24,54,0,0,324,279
-47,93,57,0,0,846,294
-46,219,66,0,0,816,270
-45,72,60,0,0,369,222
-44,171,27,0,0,936,183
-43,189,39,0,0,771,216
-42,306,51,0,0,702,258
-41,117,57,0,0,738,381
-40,144,75,0,0,1167,441
-39,330,129,0,0,804,537
-38,174,135,0,0,519,585
-37,183,135,0,0,1167,618
-36,615,141,0,0,1167,699
-35,231,144,0,0,918,744
-34,78,171,0,0,1284,813
-33,996,168,0,0,1815,780
-32,558,216,0,0,945,828
-31,48,336,0,0,1260,1059
-30,1152,276,0,0,2424,978
-29,1020,324,0,0,1530,1158
-28,63,456,0,0,1977,1323
-27,975,576,0,0,1896,1650
-26,381,654,0,0,756,1932
-25,102,807,0,0,1611,2373
-24,1014,858,0,0,2385,2847
-23,477,1353,0,0,969,3393
-22,285,1092,0,0,1605,3042
-21,1203,903,0,0,2883,2784
-20,573,864,0,0,1299,2808
-19,1206,873,0,0,3078,3045
-18,849,1170,0,0,3438,3129
-17,861,1260,0,0,1734,3060
-16,705,1440,0,0,3354,3153
-15,1023,1212,0,0,4071,3078
-14,762,1377,0,0,2265,3060
-13,2361,1323,0,0,5250,3267
-12,294,1206,0,0,2244,3366
-11,1275,1209,0,0,5622,3477
-10,4740,1176,0,0,7152,4008
-9,687,1101,0,0,2493,4236
-8,1401,1158,0,0,7263,4404
-7,5985,1344,0,0,7851,4734
-6,744,1935,0,0,2667,6087
-5,789,2520,0,0,8094,6252
-4,10602,3510,0,0,12516,7854
-3,462,5706,0,0,3252,11088
-2,360,9390,0,0,10002,17250
-1,39414,24912,0,0,41976,33288
0,0,9789,312,312,3960,27330
1,3,2061,39,39,41937,33249
2,3,510,21,39,9981,17211
3,3,279,27,33,3225,11055
4,3,60,24,24,12492,7830
5,3,45,33,18,8061,6234
6,3,84,6,21,2661,6066
7,3,69,18,15,7833,4719
8,0,18,12,15,7251,4389
9,0,0,24,27,2469,4209
10,0,0,12,15,7140,3993
11,0,0,18,21,5604,3456
12,0,0,15,21,2229,3345
13,0,0,30,12,5220,3255
14,0,0,9,18,2256,3042
15,0,0,9,6,4062,3072
16,0,0,9,6,3345,3147
17,0,0,21,12,1713,3048
18,0,0,6,12,3432,3117
19,0,0,6,9,3072,3036
20,0,9,6,24,1293,2784
21,3,6,30,24,2853,2760
22,3,3,12,39,1593,3003
23,3,0,12,36,957,3357
24,3,0,21,48,2364,2799
25,3,0,39,39,1572,2334
26,3,0,63,27,693,1905
27,0,0,27,33,1869,1617
28,0,0,30,24,1947,1299
29,0,0,27,27,1503,1131
30,0,0,27,27,2397,951
31,0,0,18,33,1242,1026
32,0,0,21,18,924,810
33,0,0,27,27,1788,753
34,0,0,30,27,1254,786
35,0,0,27,21,891,723
36,0,0,15,21,1152,678
37,0,0,24,33,1143,585
38,0,0,33,48,486,537
39,0,0,18,54,786,483
40,0,0,12,39,1155,402
41,0,0,36,39,702,342
42,0,0,39,21,663,237
43,0,0,27,15,744,201
44,0,0,18,27,918,156
45,0,0,36,18,333,204
46,0,0,33,21,783,249
47,0,0,30,24,816,270
48,0,0,9,18,315,261
49,0,0,6,18,285,162
50,0,0,6,21,645,165
51,0,0,6,24,594,138
52,0,0,9,18,177,144
53,0,0,12,15,264,207
54,0,0,12,12,237,198
55,0,0,9,15,84,159
56,0,0,12,9,171,117
57,0,0,3,9,51,75
58,0,0,24,6,21,30
59,0,0,12,0,21,45
60,0,0,15,0,42,45
61,0,0,9,0,18,48
62,0,0,27,0,45,39
63,0,0,36,0,330,57
64,0,0,15,0,351,30
65,0,0,6,0,57,30
66,0,0,6,0,150,9
67,0,0,6,0,21,3
68,0,0,0,0,33,3
69,0,0,0,0,138,6
70,0,0,0,0,60,18
71,0,0,15,0,66,33
72,0,0,12,0,117,39
73,0,0,9,0,42,48
74,0,0,6,0,39,0
75,0,0,3,0,84,0
76,0,0,0,0,51,0
77,0,0,0,0,30,0
78,0,0,0,0,21,0
79,0,0,0,0,15,0
80,0,0,0,0,24,0
81,0,0,0,0,18,0
82,0,0,0,0,54,0
83,0,0,0,0,132,0
85,0,0,0,0,12,0
86,0,0,0,0,30,0
