Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-4,100,100,0,0,400,400
-3,2325,2325,0,0,7500,7500
-2,23925,23925,0,0,70000,70000
-1,161025,161025,0,0,491100,491100
0,0,0,276960,276960,772540,772540
1,0,0,150240,150240,340860,340860
2,0,0,33760,33760,36240,36240
3,0,0,4640,4640,2860,2860
4,0,0,320,320,80,80
