Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-4,0,0,0,0
A,-3,0,0,2000,2000
A,-2,0,0,21500,21500
A,-1,0,0,76000,76000
A,0,28800,28800,84700,84700
A,1,26880,26880,49120,49120
A,2,9600,9600,11900,11900
A,3,1280,1280,720,720
A,4,0,0,0,0
B,-4,0,0,0,0
B,-3,0,0,0,0
B,-2,0,0,0,0
B,-1,0,0,62500,62500
B,0,49920,49920,137580,137580
B,1,16640,16640,45860,45860
B,2,0,0,0,0
B,3,0,0,0,0
B,4,0,0,0,0
C,-4,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,10000,10000
C,-1,0,0,77500,77500
C,0,38400,38400,99100,99100
C,1,23040,23040,54460,54460
C,2,5120,5120,4880,4880
C,3,0,0,0,0
C,4,0,0,0,0
D,-4,0,0,400,400
D,-3,0,0,5500,5500
D,-2,0,0,28500,28500
D,-1,0,0,72600,72600
D,0,21600,21600,76900,76900
D,1,27360,27360,45240,45240
D,2,13920,13920,14580,14580
D,3,3360,3360,2140,2140
D,4,320,320,80,80
E,-4,0,0,0,0
E,-3,0,0,0,0
E,-2,0,0,0,0
E,-1,0,0,62500,62500
E,0,49920,49920,137580,137580
E,1,16640,16640,45860,45860
E,2,0,0,0,0
E,3,0,0,0,0
E,4,0,0,0,0
F,-4,0,0,0,0
F,-3,0,0,0,0
F,-2,0,0,0,0
F,-1,0,0,62500,62500
F,0,49920,49920,137580,137580
F,1,16640,16640,45860,45860
F,2,0,0,0,0
F,3,0,0,0,0
F,4,0,0,0,0
G,-4,0,0,0,0
G,-3,0,0,0,0
G,-2,0,0,10000,10000
G,-1,0,0,77500,77500
G,0,38400,38400,99100,99100
G,1,23040,23040,54460,54460
G,2,5120,5120,4880,4880
G,3,0,0,0,0
G,4,0,0,0,0
