Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-66,0,0,0,0
A,-65,0,0,0,0
A,-64,0,0,0,0
A,-63,0,0,0,0
A,-62,0,0,0,0
A,-61,0,0,9,0
A,-60,0,0,0,0
A,-59,0,0,0,0
A,-58,0,0,6,0
A,-57,0,0,0,0
A,-56,0,0,0,0
A,-55,0,0,51,0
A,-54,0,0,0,0
A,-53,0,0,0,0
A,-52,0,0,9,0
A,-51,0,0,0,0
A,-50,0,0,0,0
A,-49,0,0,0,0
A,-48,0,0,3,0
A,-47,0,0,0,0
A,-46,0,0,6,9
A,-45,0,0,18,18
A,-44,0,0,6,24
A,-43,0,0,12,24
A,-42,0,0,126,0
A,-41,0,0,12,3
A,-40,0,0,18,0
A,-39,0,0,126,0
A,-38,0,0,36,3
A,-37,0,0,27,3
A,-36,0,0,129,6
A,-35,0,0,84,18
A,-34,0,0,30,12
A,-33,0,0,66,39
A,-32,0,0,60,72
A,-31,0,0,87,96
A,-30,0,0,42,120
A,-29,0,0,36,114
A,-28,0,0,36,102
A,-27,0,0,231,108
A,-26,0,0,99,75
A,-25,0,0,57,39
A,-24,0,0,219,39
A,-23,0,0,117,66
A,-22,0,0,63,111
A,-21,0,0,66,168
A,-20,0,0,72,111
A,-19,0,0,69,219
A,-18,0,0,84,213
A,-17,0,0,132,210
A,-16,0,0,291,201
A,-15,0,0,390,156
A,-14,0,0,99,111
A,-13,0,0,366,123
A,-12,0,0,309,168
A,-11,0,0,36,228
A,-10,0,0,102,237
A,-9,0,0,153,231
A,-8,0,0,48,279
A,-7,0,0,111,282
A,-6,0,0,156,228
A,-5,0,0,138,282
A,-4,0,0,159,216
A,-3,0,0,84,180
A,-2,0,0,36,456
A,-1,0,0,1632,957
A,0,36,36,378,372
A,1,3,3,1629,954
A,2,3,3,33,453
A,3,3,3,81,177
A,4,3,3,156,213
A,5,3,3,135,279
A,6,3,3,153,225
A,7,0,0,111,282
A,8,0,0,48,279
A,9,0,0,153,231
A,10,0,0,102,237
A,11,0,0,36,228
A,12,0,0,309,168
A,13,0,0,366,123
A,14,0,0,99,111
A,15,0,0,390,156
A,16,0,6,291,195
A,17,0,18,132,192
A,18,6,6,78,207
A,19,6,0,63,219
A,20,6,0,66,111
A,21,6,3,60,165
A,22,6,3,57,108
A,23,0,3,117,63
A,24,0,3,219,36
A,25,3,3,54,36
A,26,3,0,96,75
A,27,3,0,228,108
A,28,3,0,33,102
A,29,3,0,33,114
A,30,0,0,42,120
A,31,0,18,87,78
A,32,0,21,60,51
A,33,0,6,66,33
A,34,0,6,30,6
A,35,6,3,78,15
A,36,9,6,120,0
A,37,9,3,18,0
A,38,9,0,27,3
A,39,9,0,117,0
A,40,6,0,12,0
A,41,3,0,9,3
A,42,3,0,123,0
A,43,3,0,9,24
A,44,3,0,3,24
A,45,3,0,15,18
A,46,0,0,6,9
A,47,0,0,0,0
A,48,0,0,3,0
