Rank,Count (Max),Count (Avg)
0,105,105
1,24,24
2,63,78
3,108,114
4,111,117
5,72,69
6,30,30
7,15,21
8,24,36
9,21,39
10,18,18
11,21,30
12,30,39
13,27,51
14,27,45
15,30,30
16,42,60
17,42,72
18,42,66
19,45,69
20,63,78
21,69,111
22,60,84
23,63,99
24,93,135
25,102,177
26,96,192
27,123,183
28,162,210
29,174,207
30,162,195
31,147,171
32,153,201
33,153,243
34,153,258
35,165,264
36,174,297
37,174,276
38,192,333
39,219,297
40,246,348
41,252,312
42,246,330
43,267,372
44,270,381
45,264,432
46,255,438
47,267,459
48,273,465
49,294,528
50,294,549
51,348,591
52,363,606
53,351,675
54,312,756
55,324,786
56,318,957
57,333,1014
58,348,1083
59,408,1170
60,411,1218
61,405,1428
62,402,1314
63,465,1302
64,492,1305
65,522,1284
66,525,1212
67,531,1047
68,489,1038
69,504,1161
70,528,1110
71,573,1050
72,603,966
73,672,873
74,750,882
75,738,858
76,732,933
77,753,1032
78,780,1083
79,807,1104
80,858,1197
81,888,1275
82,936,1203
83,984,1281
84,1041,1284
85,1053,1218
86,1062,1299
87,1110,1230
88,1134,1083
89,1137,993
90,1143,915
91,1158,765
92,1173,666
93,1185,588
94,1203,513
95,1287,453
96,1293,339
97,1275,351
98,1257,372
99,1245,315
100,1173,342
101,1125,342
102,1131,303
103,1119,324
104,1032,258
105,957,204
106,870,150
107,741,75
108,669,66
109,621,48
110,540,12
111,477,9
112,447,0
113,423,0
114,378,0
115,378,0
116,354,0
117,303,0
118,306,0
119,330,0
120,333,0
121,294,0
122,267,0
123,237,0
124,213,0
125,183,0
126,129,0
127,78,0
128,57,0
129,54,0
130,36,0
131,30,0
132,21,0
133,12,0
