Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-86,0,0,0,0
A,-85,0,0,0,0
A,-84,0,0,0,0
A,-83,0,0,0,0
A,-82,0,0,0,0
A,-81,0,0,0,0
A,-80,0,0,0,0
A,-79,0,0,0,0
A,-78,0,0,3,0
A,-77,0,0,0,0
A,-76,0,0,0,0
A,-75,0,0,18,0
A,-74,0,0,0,0
A,-73,0,0,0,0
A,-72,0,0,27,0
A,-71,0,0,0,0
A,-70,0,0,0,0
A,-69,0,0,9,0
A,-68,0,0,0,0
A,-67,0,0,0,0
A,-66,0,0,81,0
A,-65,0,0,0,0
A,-64,0,0,0,0
A,-63,0,0,30,0
A,-62,0,0,0,0
A,-61,0,0,0,0
A,-60,0,0,0,0
A,-59,0,0,3,0
A,-58,0,0,6,0
A,-57,0,0,0,18
A,-56,0,0,27,36
A,-55,0,0,12,30
A,-54,0,0,3,27
A,-53,0,0,45,30
A,-52,0,0,30,24
A,-51,0,0,3,6
A,-50,0,0,243,0
A,-49,0,0,54,3
A,-48,0,0,3,0
A,-47,0,0,309,0
A,-46,0,0,99,12
A,-45,0,0,12,9
A,-44,0,0,390,15
A,-43,0,0,264,18
A,-42,0,0,15,18
A,-41,0,0,192,45
A,-40,0,0,171,84
A,-39,0,0,12,108
A,-38,0,0,87,168
A,-37,0,0,195,231
A,-36,0,0,24,231
A,-35,0,0,189,315
A,-34,0,0,141,267
A,-33,0,0,75,213
A,-32,0,0,432,141
A,-31,0,0,240,144
A,-30,0,0,123,129
A,-29,0,0,567,126
A,-28,0,0,210,126
A,-27,0,0,198,285
A,-26,0,0,252,342
A,-25,0,0,306,417
A,-24,0,0,174,459
A,-23,0,0,177,735
A,-22,0,0,126,576
A,-21,0,0,423,363
A,-20,0,0,510,330
A,-19,0,0,570,435
A,-18,0,0,846,324
A,-17,0,0,498,303
A,-16,0,0,873,342
A,-15,0,0,762,429
A,-14,0,0,264,528
A,-13,0,0,243,570
A,-12,0,0,345,711
A,-11,0,0,411,582
A,-10,0,0,279,639
A,-9,0,0,642,642
A,-8,0,0,210,582
A,-7,0,0,267,606
A,-6,0,0,621,660
A,-5,0,0,321,537
A,-4,0,0,450,420
A,-3,0,0,213,510
A,-2,0,0,351,1467
A,-1,0,0,4554,2766
A,0,36,36,870,1062
A,1,3,3,4551,2763
A,2,3,3,348,1464
A,3,3,3,210,507
A,4,3,3,447,417
A,5,3,3,318,534
A,6,3,3,618,657
A,7,3,3,264,603
A,8,0,0,210,582
A,9,0,0,642,642
A,10,0,0,279,639
A,11,0,0,411,582
A,12,0,0,345,711
A,13,0,0,243,570
A,14,0,0,264,528
A,15,0,0,762,429
A,16,0,0,873,342
A,17,0,0,498,303
A,18,0,0,846,324
A,19,0,0,570,435
A,20,0,18,510,312
A,21,6,12,417,351
A,22,6,6,120,570
A,23,6,0,171,735
A,24,6,0,168,459
A,25,6,3,300,414
A,26,6,0,246,342
A,27,0,3,198,282
A,28,0,3,210,123
A,29,3,3,564,123
A,30,3,3,120,126
A,31,3,3,237,141
A,32,3,0,429,141
A,33,3,0,72,213
A,34,3,0,138,267
A,35,0,0,189,315
A,36,0,0,24,231
A,37,0,6,195,225
A,38,0,18,87,150
A,39,0,24,12,84
A,40,0,6,171,78
A,41,6,6,186,39
A,42,9,3,6,15
A,43,9,6,255,12
A,44,9,3,381,12
A,45,9,3,3,6
A,46,9,0,90,12
A,47,6,0,303,0
A,48,3,0,0,0
A,49,3,0,51,3
A,50,3,0,240,0
A,51,3,0,0,6
A,52,3,0,27,24
A,53,3,0,42,30
A,54,0,0,3,27
A,55,0,0,12,30
A,56,0,0,27,36
A,57,0,0,0,18
A,58,0,0,6,0
A,59,0,0,3,0
A,60,0,0,0,0
A,61,0,0,0,0
A,62,0,0,0,0
A,63,0,0,30,0
A,64,0,0,0,0
A,65,0,0,0,0
A,66,0,0,81,0
A,67,0,0,0,0
A,68,0,0,0,0
A,69,0,0,9,0
A,70,0,0,0,0
A,71,0,0,0,0
A,72,0,0,27,0
A,73,0,0,0,0
A,74,0,0,0,0
A,75,0,0,18,0
A,76,0,0,0,0
A,77,0,0,0,0
A,78,0,0,3,0
A,79,0,0,0,0
A,80,0,0,0,0
A,81,0,0,0,0
A,82,0,0,0,0
A,83,0,0,0,0
A,84,0,0,0,0
A,85,0,0,0,0
A,86,0,0,0,0
B,-86,0,0,0,0
B,-85,0,0,0,0
B,-84,0,0,0,0
B,-83,0,0,0,0
B,-82,0,0,0,0
B,-81,0,0,0,0
B,-80,0,0,0,0
B,-79,0,0,0,0
B,-78,0,0,0,0
B,-77,0,0,0,0
B,-76,0,0,0,0
B,-75,0,0,0,0
B,-74,0,0,0,0
B,-73,0,0,0,0
B,-72,0,0,0,0
B,-71,0,0,9,0
B,-70,0,0,9,0
B,-69,0,0,0,0
B,-68,0,0,6,0
B,-67,0,0,9,0
B,-66,0,0,0,0
B,-65,0,0,33,0
B,-64,0,0,33,0
B,-63,0,0,0,0
B,-62,0,0,18,0
B,-61,0,0,18,0
B,-60,0,0,0,0
B,-59,0,0,9,0
B,-58,0,0,12,0
B,-57,0,0,3,0
B,-56,0,0,9,3
B,-55,0,0,9,6
B,-54,0,0,6,18
B,-53,0,0,24,30
B,-52,0,0,3,21
B,-51,0,0,0,15
B,-50,0,0,0,18
B,-49,0,0,0,21
B,-48,0,0,3,15
B,-47,0,0,0,18
B,-46,0,0,3,15
B,-45,0,0,9,30
B,-44,0,0,6,0
B,-43,0,0,6,3
B,-42,0,0,135,3
B,-41,0,0,12,6
B,-40,0,0,3,15
B,-39,0,0,36,27
B,-38,0,0,15,36
B,-37,0,0,3,39
B,-36,0,0,150,27
B,-35,0,0,27,3
B,-34,0,0,6,6
B,-33,0,0,219,3
B,-32,0,0,96,27
B,-31,0,0,6,21
B,-30,0,0,702,24
B,-29,0,0,447,6
B,-28,0,0,27,12
B,-27,0,0,237,18
B,-26,0,0,108,36
B,-25,0,0,66,123
B,-24,0,0,249,645
B,-23,0,0,24,645
B,-22,0,0,219,357
B,-21,0,0,444,195
B,-20,0,0,81,276
B,-19,0,0,396,372
B,-18,0,0,624,405
B,-17,0,0,114,651
B,-16,0,0,6,819
B,-15,0,0,1371,615
B,-14,0,0,375,567
B,-13,0,0,822,495
B,-12,0,0,279,309
B,-11,0,0,1245,390
B,-10,0,0,858,498
B,-9,0,0,342,450
B,-8,0,0,1356,510
B,-7,0,0,867,840
B,-6,0,0,492,978
B,-5,0,0,648,873
B,-4,0,0,1191,666
B,-3,0,0,207,1314
B,-2,0,0,1485,2115
B,-1,0,0,3444,3153
B,0,24,24,0,1776
B,1,9,9,3435,3144
B,2,3,3,1482,2112
B,3,3,6,204,1308
B,4,3,3,1188,663
B,5,6,3,642,870
B,6,0,3,492,975
B,7,0,0,867,840
B,8,0,0,1356,510
B,9,3,3,339,447
B,10,0,0,858,498
B,11,0,0,1245,390
B,12,0,3,279,306
B,13,3,0,819,495
B,14,0,0,375,567
B,15,0,0,1371,615
B,16,0,0,6,819
B,17,3,3,111,648
B,18,0,0,624,405
B,19,0,0,396,372
B,20,0,0,81,276
B,21,3,3,441,192
B,22,0,6,219,351
B,23,0,3,24,642
B,24,0,3,249,642
B,25,3,0,63,123
B,26,6,3,102,33
B,27,3,3,234,15
B,28,3,3,24,9
B,29,3,0,444,6
B,30,3,0,699,24
B,31,3,6,3,15
B,32,0,3,96,24
B,33,0,3,219,0
B,34,6,3,0,3
B,35,3,3,24,0
B,36,3,3,147,24
B,37,3,3,0,36
B,38,3,9,12,27
B,39,3,12,33,15
B,40,3,9,0,6
B,41,9,6,3,0
B,42,12,3,123,0
B,43,6,3,0,0
B,44,6,0,0,0
B,45,6,12,3,18
B,46,3,9,0,6
B,47,0,6,0,12
B,48,0,3,3,12
B,49,0,3,0,18
B,50,0,3,0,15
B,51,0,0,0,15
B,52,3,0,0,21
B,53,9,0,15,30
B,54,6,0,0,18
B,55,6,0,3,6
B,56,6,0,3,3
B,57,3,0,0,0
B,58,3,0,9,0
B,59,0,0,9,0
B,60,0,0,0,0
B,61,0,0,18,0
B,62,0,0,18,0
B,63,0,0,0,0
B,64,0,0,33,0
B,65,0,0,33,0
B,66,0,0,0,0
B,67,0,0,9,0
B,68,0,0,6,0
B,69,0,0,0,0
B,70,0,0,9,0
B,71,0,0,9,0
B,72,0,0,0,0
B,73,0,0,0,0
B,74,0,0,0,0
B,75,0,0,0,0
B,76,0,0,0,0
B,77,0,0,0,0
