Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-3,48,48,0,0,144,144
-2,1376,1376,0,0,3600,3600
-1,9136,9136,0,0,18864,18864
0,0,0,6480,6480,22032,22032
1,0,0,5292,5292,13572,13572
2,0,0,1728,1728,1872,1872
3,0,0,108,108,36,36
